# env-contract.tsv — the ONE in-repo authority for Lupin's environment variables.
#
# WHY THIS FILE EXISTS  (R3 of src/rnd/v0.1.9/2026.07.26-configuration-splintering-analysis.md)
#   LUPIN_ROOT alone has 36 read sites and four writers (each machine's ~/.bashrc,
#   push-env, every compose `environment:` block, and a default inside
#   cu.get_project_root()) — and no list of which vars exist, who sets them, or what
#   shape they should have per machine. Every one of those is one fact asserted in
#   several places with nothing comparing them.
#
#   This is the CONTRACT, not the VALUES. Values are legitimately machine-specific
#   (/mnt/DATA01/... on dev vs /mnt/lupin-data/... on the VM) and must stay that way.
#   What is NOT machine-specific is WHICH vars must exist, WHO writes them, and WHAT
#   SHAPE they take — and that genuinely is one fact, so it lives here, once.
#
#   This is the same pattern as src/conf/claude-code-hooks.json: one in-repo authority,
#   machine-specific instantiation by a script. That is the pattern that has worked.
#
# CONSUMERS
#   - src/scripts/preflight-vm.sh   check A1 — asserts each var per this contract.
#   - src/scripts/lupin-vm.sh       push-env — SHOULD generate from this file rather
#                                   than carrying its own hardcoded echo list
#                                   (follow-on; the list is duplicated today).
#
# FORMAT — tab-separated, 6 columns. '#' comments and blank lines ignored.
#
#   name          the environment variable.
#   surface       HOST      — the VM/dev shell (~/.bashrc, push-env)
#                 CONTAINER — a compose `environment:` block
#                 BOTH      — must agree on both surfaces
#                 COMPOSE   — read by compose from the env-file at container CREATE
#                             and consumed OUTSIDE any `environment:` block (a
#                             `group_add:` entry, a mount `source:`). The value
#                             shapes the container; it is never injected INTO it,
#                             so neither the host shell nor `docker exec printenv`
#                             can see it and both A1 and C6's env probe would ask
#                             the wrong question. What proves a COMPOSE row instead
#                             is compose's OWN `${VAR:?}` regime: unset aborts
#                             `up`, so a RUNNING container is the evidence the
#                             value was supplied. See preflight-vm.sh A1 + C6.
#   writer        what is responsible for setting it.
#   shape         PATH_VM      — must live under the VM data root on a VM
#                 PATH_ANY     — a path, machine-specific, not otherwise constrained
#                 EMAIL / LITERAL / NUMERIC / SECRET / ENUM:<a|b|c>
#   requirement   REQUIRED — preflight BLOCKS when unset
#                 OPTIONAL — preflight WARNs when unset
#   note          why it exists / what breaks without it. Keep it factual.
#
# name	surface	writer	shape	requirement	note

# ── roots ────────────────────────────────────────────────────────────────────
LUPIN_ROOT	BOTH	push-env + compose	PATH_VM	REQUIRED	36 read sites. Container value is /var/lupin; host value is the checkout. cu.get_project_root() falls back to /var/lupin, which is CORRECT in a container and WRONG on a host — so an unset host value fails silently rather than loudly.
LUPIN_CONFIG_MGR_CLI_ARGS	CONTAINER	compose	LITERAL	REQUIRED	Chooses the INI BLOCK (e.g. Lupin:+Testing-GCS). A different knob from LUPIN_ENV with a similar name; they can disagree silently.

# ── Vertex / direct Opus (host CLI) ──────────────────────────────────────────
CLAUDE_CODE_USE_VERTEX	HOST	operator ~/.bashrc	ENUM:0|1	OPTIONAL	Only needed for direct Opus via Vertex on the VM.
ANTHROPIC_VERTEX_PROJECT_ID	HOST	operator ~/.bashrc	LITERAL	OPTIONAL_UNLESS:CLAUDE_CODE_USE_VERTEX=1	Ranked BELOW GOOGLE_CLOUD_PROJECT/GCLOUD_PROJECT — a literal elsewhere can silently bill another project.
CLOUD_ML_REGION	HOST	operator ~/.bashrc	ENUM:global	OPTIONAL_UNLESS:CLAUDE_CODE_USE_VERTEX=1	Opus 4.8 on Vertex is GLOBAL-ONLY. A regional value yields model-not-found, which the CC wizard mis-reports as "permission denied".

# ── Cloud SQL / database (VM container) ──────────────────────────────────────
# Requirement below is COMPOSE'S OWN declaration, not a judgement call: `${VAR:?msg}`
# aborts `up` when unset (=> REQUIRED); `${VAR:-default}` cannot (=> OPTIONAL).
CLOUD_SQL_CONNECTION_NAME	CONTAINER	cloud-gpu.env	LITERAL	REQUIRED	project:region:instance for the cloud-sql-proxy sidecar AND the app. `${...:?}` in cloud-gpu.yml«- "${CLOUD_SQL_CONNECTION_NAME:?set CLOUD_SQL_CONNECTION_NAME}"» and «CLOUD_SQL_CONNECTION_NAME: ${CLOUD_SQL_CONNECTION_NAME:?set CLOUD_SQL_CONNECTION_NAME}» — unset aborts `up` outright. Preflight C also probes the resulting socket at /cloudsql/<this>/.s.PGSQL.5432.
DB_PASSWORD	CONTAINER	cloud-gpu.env	SECRET	REQUIRED	`${...:?}` (cloud-gpu.yml«DB_PASSWORD: ${DB_PASSWORD:?set DB_PASSWORD (from Secret Manager lupin-db-password)}»). Sourced from Secret Manager `lupin-db-password`. cloud-gpu.env is mode 600 / uid 1001 — a plain grep by the SSH user reads NOTHING, with no error.
DB_USER	CONTAINER	cloud-gpu.env	LITERAL	OPTIONAL	Defaults to `lupin_app` in compose (cloud-gpu.yml«DB_USER: ${DB_USER:-lupin_app}»). Absent is compliant; the default is the deployed value.
DB_NAME	CONTAINER	cloud-gpu.env	LITERAL	OPTIONAL	Defaults to `lupin_db_test` in compose (cloud-gpu.yml«DB_NAME: ${DB_NAME:-lupin_db_test}»). NB the host dev engine is lupin_db_dev — code guarded by `if "lupin_db_test" not in db_url` never executes on the host.
LUPIN_IMAGE	CONTAINER	cloud-gpu.env	LITERAL	OPTIONAL	The app image tag; defaults to `lupin:1.1.0` (cloud-gpu.yml«image: ${LUPIN_IMAGE:-lupin:1.1.0}»). An unset value silently deploys the DEFAULT tag rather than failing, so a stale image looks like a successful deploy.
LUPIN_MODEL_SERVER_TAG	CONTAINER	cloud-gpu.env	LITERAL	OPTIONAL	Model-server image tag, defaults to `0.1.0`. Same silent-default hazard as LUPIN_IMAGE. ⚠️ NO LIVE CONSUMER since 2026-08-26 (row 0d175dac): its only compose interpolation was in docker-compose.cloud-test.yml, which was retired that day, and no shipped compose file reads it now. Row KEPT rather than deleted so the removal is a ruling, not a side effect of a cleanup — decide whether to drop it or re-point it at a future model-server venue.
LUPIN_MODEL_SERVER_URL	CONTAINER	cloud-gpu.env	LITERAL	REQUIRED	The Cloud Run service URL. REQUIRED is the VM's regime (`${...:?}` cloud-gpu.yml«LUPIN_MODEL_SERVER_URL: ${LUPIN_MODEL_SERVER_URL:?set LUPIN_MODEL_SERVER_URL to the Cloud Run service URL (https://lupin-model-server-XXXX.run.app)}»); the LOCAL docker-compose.yml gives it a `:-http://lupin-model-server:7998` default instead, so its requirement is venue-dependent and this contract states the VM's.
LUPIN_MODEL_SERVER_API_KEY_NAME	CONTAINER	compose	LITERAL	REQUIRED	Names the key FILE under src/conf/keys/ that BOTH the model-server client (embedding_provider, speech_to_text_provider) and the model server itself (main.py:76) use. Default `model-server-api`. ⚠️ ITS KEY IS GLOBAL AND IS SHIPPED TO EVERY CALLER HOST — the exact OPPOSITE of LUPIN_API_KEY above, which is per-database and must NEVER be shipped from dev. Two adjacent rows with opposite rules: read the name, not the neighbour. The model server bcrypt-hashes ONE mounted secret version at BOOT, so its correct value is identical everywhere; sharing it with the notifications key produced a 38h 100% 401 on /embeddings/generate and an unreported one on /transcribe (574fd1dc/6cc52525). Must equal Terraform `api_key_name`.
CLAUDE_CODE_OAUTH_TOKEN	CONTAINER	cloud-gpu.env	SECRET	OPTIONAL	`${...:-}` (cloud-gpu.yml«CLAUDE_CODE_OAUTH_TOKEN: ${CLAUDE_CODE_OAUTH_TOKEN:-}») so unset resolves to EMPTY and never blocks `up`. ⚠️ MEASURED 2026-07-26: the line is COMMENTED OUT at cloud-gpu.env:31, so it IS empty on the VM today. What that breaks is NOT established — read the consumer before asserting anything.
JWT_SECRET_KEY	CONTAINER	.env / host env file	SECRET	REQUIRED	JWT signing secret. `${...:?}` on all three shipped services (docker-compose.yml«JWT_SECRET_KEY: ${JWT_SECRET_KEY:?set JWT_SECRET_KEY in .env — see row adce3547}» — the SAME line in two services, so this anchor matches twice by design; cloud-gpu.yml«JWT_SECRET_KEY: ${JWT_SECRET_KEY:?set JWT_SECRET_KEY in the host env file — see row adce3547}»). REQUIRED is not cosmetic, and it is now enforced in TWO places: jwt_service.py raises on an unset or blank secret in EVERY environment (there is no default — row adce3547), and the `:?` refuses to render the service at all. Until 2026-08-19 the code raised ONLY when ENVIRONMENT=production, which no service sets, so an unset value did not fail — it silently signed with a secret hardcoded in that source file and therefore public. Value lives in the UNTRACKED .env / host env file, never a tracked one. Added 2026-08-18, bug 8df98a96 — the two cloud services had been missing it since they were written. VERIFY IN THE PROCESS: read /proc/1/environ, not `docker exec printenv` — printenv derives a fresh environment from container config and misses an entrypoint that sources an env file over the top.
POSTGRES_PASSWORD	CONTAINER	.env / host env file	SECRET	REQUIRED	Password the lupin-postgres container initialises `lupin_dev` with, and the one every DB consumer must match. `${...:?}` at docker-compose.yml«POSTGRES_PASSWORD: ${POSTGRES_PASSWORD:?set POSTGRES_PASSWORD in .env — see row 856882e4}» — local venue only; the cloud venues use Cloud SQL and DB_PASSWORD instead. Was a tracked plaintext literal (value scrubbed; recoverable from git history) at the tip of a PUBLIC repo until 2026-08-19 (row 856882e4, found by Chloé's rewritten scanner). Rick ruled CONVERT, DO NOT ROTATE — the value is a placeholder on a localhost dev database, so the defect closed here is the secret-shaped literal in the tree, not the string. Value lives in the UNTRACKED .env beside docker-compose.yml, which compose auto-loads regardless of shell interactivity — that is what lets a `:?` form work from a non-interactive tool shell that never sources ~/.bashrc. Env resolves at container CREATE: changing it needs `docker compose up -d --force-recreate postgres`, never a restart.
GH_TOKEN	CONTAINER	operator ~/.bashrc	SECRET	OPTIONAL	`${GH_TOKEN:-}` in the LOCAL docker-compose.yml only «GH_TOKEN: ${GH_TOKEN:-}» (the SAME line in two services, so this anchor matches twice by design) — not interpolated by the cloud compose file. Unset resolves to empty; gh CLI calls inside the container then run unauthenticated.

# ── test venues (dev box only) ───────────────────────────────────────────────
LUPIN_TEST_INTERACTIVE_MOCK_JOBS_EMAIL	HOST	operator ~/.bashrc	EMAIL	OPTIONAL	Test/proxy auth as the SAME user, so both share a WebSocket channel. Absent => "Operation cancelled" failures.
LUPIN_TEST_INTERACTIVE_MOCK_JOBS_PASSWORD	HOST	operator ~/.bashrc	SECRET	OPTIONAL	See above.
